{'07:15:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'07:25:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'07:35:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'07:45:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'07:55:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'08:05:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'08:15:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'08:25:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'08:35:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'08:45:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'08:55:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'09:05:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'09:15:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'09:25:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'09:35:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'09:45:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'09:55:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'10:05:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'10:15:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'10:25:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'10:35:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'10:45:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'10:55:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'11:05:53 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'11:15:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'11:25:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'11:35:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'11:45:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'11:55:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'12:05:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'12:15:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'12:25:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
