{'20:24:26 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:25:26 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:26:26 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:27:27 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:28:27 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:29:27 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:30:27 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:31:28 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:32:28 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:33:28 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:34:29 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:35:29 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:36:29 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:37:29 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:38:30 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:39:30 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:40:30 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:41:31 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:42:31 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:43:31 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:44:31 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:45:32 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:46:32 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:47:32 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:48:33 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:49:33 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:50:33 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:51:34 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:52:34 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:53:34 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
